Date;energie;Code;HR% LIVE;<HR%>;HR% min;HR% Max;C %;Inc;Time
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;14:20:49
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;14:20:51
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;14:21:46
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;14:21:54
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1H;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1I;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1J;0;0;0;0;0;0;14:22:04
7/21/2020;Humidite;CHC1;0;0;0;0;0;0;14:24:00
7/21/2020;Humidite;CHC1A;0;0;0;0;0;0;14:24:00
7/21/2020;Humidite;CHC1B;0;0;0;0;0;0;14:24:00
7/21/2020;Humidite;CHC1C;0;0;0;0;0;0;14:24:00
7/21/2020;Humidite;CHC1D;0;0;0;0;0;0;14:24:00
7/21/2020;Humidite;CHC1E;0;0;0;0;0;0;14:24:00
7/21/2020;Humidite;CHC1F;0;0;0;0;0;0;14:24:00
7/21/2020;Humidite;CHC1G;0;0;0;0;0;0;14:24:00
