dd/MM/yyyy HH:mm:ss;LOG_OK,0
25/02/2021 15:39:24;OK
25/02/2021 15:40:24;OK
25/02/2021 15:41:24;OK
25/02/2021 15:42:24;OK
25/02/2021 15:43:24;OK
25/02/2021 15:44:24;OK
25/02/2021 15:45:24;OK
25/02/2021 15:46:24;OK
25/02/2021 15:47:24;OK
25/02/2021 15:48:24;OK
25/02/2021 15:49:24;OK
25/02/2021 15:50:24;OK
25/02/2021 15:51:24;OK
25/02/2021 15:52:24;OK
25/02/2021 15:53:24;OK
25/02/2021 15:54:24;OK
25/02/2021 15:55:24;OK
25/02/2021 15:56:24;OK
25/02/2021 15:57:24;OK
25/02/2021 15:58:24;OK
25/02/2021 15:59:24;OK
25/02/2021 16:00:24;OK
25/02/2021 16:01:24;OK
25/02/2021 16:02:24;OK
25/02/2021 16:03:24;OK
25/02/2021 16:04:24;OK
25/02/2021 16:05:24;OK
25/02/2021 16:06:24;OK
25/02/2021 16:07:24;OK
25/02/2021 16:08:24;OK
25/02/2021 16:09:24;OK
25/02/2021 16:10:24;OK
25/02/2021 16:11:24;OK
25/02/2021 16:12:24;OK
25/02/2021 16:13:24;OK
25/02/2021 16:14:24;OK
25/02/2021 16:15:24;OK
25/02/2021 16:16:24;OK
25/02/2021 16:17:24;OK
25/02/2021 16:18:24;OK
25/02/2021 16:19:24;OK
25/02/2021 16:20:24;OK
25/02/2021 16:21:24;OK
25/02/2021 16:22:24;OK
25/02/2021 16:23:24;OK
25/02/2021 16:24:24;OK
25/02/2021 16:25:24;OK
25/02/2021 16:26:24;OK
25/02/2021 16:27:24;OK
25/02/2021 16:28:24;OK
25/02/2021 16:29:24;OK
25/02/2021 16:30:24;OK
25/02/2021 16:31:24;OK
25/02/2021 16:32:24;OK
25/02/2021 16:33:24;OK
